County,State,Number_Counties,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic
McCone,MT,25,1805,1,12.7,97.1,0.6,1.3,0.4,1.2
Madison,MT,52,7274,2,11.6,98.3,0,0.7,0.2,2
Meagher,MT,32,1999,1,17.2,98.5,0,1.1,0.2,1.4
Mineral,MT,38,4014,3,17.7,95.3,0.2,2.1,0.5,2.4
Missoula,MT,28,100086,39,14.9,94.4,0.3,2.5,1.2,1.8
Musselshell,MT,32,4497,2,17.6,97.6,0.1,1.5,0.2,1.9
Park,MT,52,15968,6,12.5,97.3,0.5,0.9,0.4,2.5
Petroleum,MT,29,470,0,11.9,98.9,0,1.1,0,1.5
Phillips,MT,25,4179,1,15.9,90.9,0.2,7,0.4,1.3
Pondera,MT,23,6087,4,17.6,82.7,0.2,16.2,0.1,1
"Powder River",MT,52,1705,1,11,98.1,0,1.9,0.1,1.4
Powell,MT,38,6999,3,16.2,93.6,0.6,3.8,0.4,2.3
Prairie,MT,52,1105,1,12.3,99.2,0,0.5,0.2,0.6
Ravalli,MT,35,39940,17,14,97.4,0.2,1,0.4,2.4
Richland,MT,29,9096,4,13.1,97.5,0.2,1.8,0.2,2.8
Roosevelt,MT,38,10524,4,26.2,38.2,0.2,59.2,0.6,2
Rosebud,MT,38,9212,2,18,62.5,0.3,35,0.6,2.9
Sanders,MT,23,11057,4,17.1,93.1,0.2,4.5,0.3,2.1
Sheridan,MT,58,3524,2,12.7,97.2,0.3,1.6,0.3,1.4
"Silver Bow",MT,35,32982,46,15.9,95.7,0.3,2.2,0.5,2.9
Stillwater,MT,58,8493,5,9.4,97.7,0.2,1,0.3,2
"Sweet Grass",MT,58,3672,2,10.2,97.9,0.1,0.5,0.7,1.7
Teton,MT,25,6240,3,13.7,96.8,0.2,1.6,0.3,1.2
Toole,MT,25,5031,3,14.1,93,0.2,4.8,0.3,2
Treasure,MT,25,689,1,12.5,97.4,0.1,1.9,0.4,1.9
Valley,MT,52,7143,1,14.6,88.2,0.2,9.9,0.3,0.9
Wheatland,MT,32,2037,1,20.1,97.3,0.2,1.4,0.4,1.3
Wibaux,MT,32,951,1,12.7,98.9,0,0.5,0.2,0.5
Yellowstone,MT,40,136691,52,12.1,93.6,0.5,3.5,0.6,3.8
Adams,NE,40,33070,59,10.1,95.5,0.9,0.5,2.5,5.9
Antelope,NE,62,7004,8,11.8,99.4,0.1,0.3,0,1
Arthur,NE,58,378,1,9.8,98.4,0,0,1.3,1.9
